transaction_id,date,department,category,vendor,region,transaction_type,amount,payment_method,description
TXN100075,2025-01-01,Operations,Logistics,FastFreight,North,Expense,5725.3,Bank Transfer,Logistics transaction for Operations
TXN100076,2025-01-01,Customer Support,Software,CloudSuite,North,Expense,5171.65,Bank Transfer,Software transaction for Customer Support
TXN100077,2025-01-01,Marketing,Product Sales,Customer_B,West,Revenue,37846.12,Bank Transfer,Product Sales transaction for Marketing
TXN100078,2025-01-01,Sales,Commissions,SalesPartners,West,Expense,9029.72,Credit Card,Commissions transaction for Sales
TXN100079,2025-01-01,Sales,Software,DataDesk,West,Expense,4466.26,Direct Debit,Software transaction for Sales
TXN100080,2025-01-01,Operations,Logistics,MoveRight,North,Expense,17192.65,Credit Card,Logistics transaction for Operations
TXN100081,2025-01-01,Operations,Utilities,WaterWorks,North,Expense,6495.05,Credit Card,Utilities transaction for Operations
TXN100082,2025-01-01,Marketing,Subscription,Customer_A,West,Revenue,8310.8,Bank Transfer,Subscription transaction for Marketing
TXN100083,2025-01-01,Customer Support,Software,CloudSuite,North,Expense,8629.05,Credit Card,Software transaction for Customer Support
TXN100084,2025-01-01,IT,Cybersecurity,SecureNet,North,Expense,10953.0,Direct Debit,Cybersecurity transaction for IT
TXN100085,2025-01-01,Operations,Utilities,WaterWorks,East,Expense,21826.18,Credit Card,Utilities transaction for Operations
TXN100086,2025-01-01,Sales,Subscription,Customer_D,South,Revenue,10542.68,Debit Card,Subscription transaction for Sales
TXN100087,2025-01-01,Customer Support,Transaction Fees,Customer_C,South,Revenue,44073.21,Bank Transfer,Transaction Fees transaction for Customer Support
TXN100088,2025-01-01,Marketing,Software,DataDesk,South,Expense,11911.53,Bank Transfer,Software transaction for Marketing
TXN100089,2025-01-01,Customer Support,Support Tools,HelpDeskPro,South,Expense,7213.68,Bank Transfer,Support Tools transaction for Customer Support
TXN100090,2025-01-01,Finance,Software,SoftCore,West,Expense,6486.82,Bank Transfer,Software transaction for Finance
TXN100091,2025-01-01,Customer Support,Software,CloudSuite,South,Expense,9403.73,Direct Debit,Software transaction for Customer Support
TXN100092,2025-01-01,Customer Support,Outsourcing,SupportWorks,East,Expense,7056.04,Credit Card,Outsourcing transaction for Customer Support
TXN100093,2025-01-01,HR,Training,SkillWorks,West,Expense,2338.24,Bank Transfer,Training transaction for HR
TXN100094,2025-01-01,Sales,Transaction Fees,Customer_A,South,Revenue,20396.61,Debit Card,Transaction Fees transaction for Sales
TXN100095,2025-01-01,Sales,Client Entertainment,DinePro,East,Expense,8801.28,Credit Card,Client Entertainment transaction for Sales
TXN100096,2025-01-01,Marketing,Service Revenue,Customer_A,South,Revenue,65528.07,Bank Transfer,Service Revenue transaction for Marketing
TXN100097,2025-01-01,HR,Training,SkillWorks,East,Expense,1054.37,Debit Card,Training transaction for HR
TXN100098,2025-01-01,Operations,Product Sales,Customer_D,North,Revenue,5700.66,Debit Card,Product Sales transaction for Operations
TXN100099,2025-01-01,Operations,Maintenance,FixPro,West,Expense,22170.79,Debit Card,Maintenance transaction for Operations
TXN100100,2025-01-01,Sales,Transaction Fees,Customer_B,West,Revenue,13058.42,Credit Card,Transaction Fees transaction for Sales
TXN100101,2025-01-01,Marketing,Product Sales,Customer_D,East,Revenue,13003.52,UPI,Product Sales transaction for Marketing
TXN100102,2025-01-01,Customer Support,Subscription,Customer_C,North,Revenue,26904.38,Bank Transfer,Subscription transaction for Customer Support
TXN100103,2025-01-01,Marketing,Subscription,Customer_B,East,Revenue,6384.72,Direct Debit,Subscription transaction for Marketing
TXN100104,2025-01-01,Customer Support,Software,CloudSuite,North,Expense,5664.3,Bank Transfer,Software transaction for Customer Support
TXN100105,2025-01-01,HR,Product Sales,Customer_A,North,Revenue,29067.79,Debit Card,Product Sales transaction for HR
TXN100106,2025-01-01,Customer Support,Support Tools,SupportCloud,North,Expense,3199.32,Bank Transfer,Support Tools transaction for Customer Support
TXN100107,2025-01-01,Finance,Professional Services,AdvisoryHub,West,Expense,11241.08,Debit Card,Professional Services transaction for Finance
TXN100108,2025-01-01,Marketing,Transaction Fees,Customer_B,South,Revenue,29974.89,Bank Transfer,Transaction Fees transaction for Marketing
TXN100109,2025-01-01,HR,Transaction Fees,Customer_A,East,Revenue,7005.86,Credit Card,Transaction Fees transaction for HR
TXN100110,2025-01-01,Sales,Software,CloudSuite,East,Expense,11487.79,Credit Card,Software transaction for Sales
TXN100111,2025-01-01,IT,Cloud Services,CloudSuite,East,Expense,24258.09,Direct Debit,Cloud Services transaction for IT
TXN100112,2025-01-02,Operations,Logistics,FastFreight,North,Expense,17334.32,UPI,Logistics transaction for Operations
TXN100113,2025-01-02,Operations,Logistics,FastFreight,West,Expense,17047.33,Direct Debit,Logistics transaction for Operations
TXN100114,2025-01-02,Operations,Subscription,Customer_B,East,Revenue,20690.56,Direct Debit,Subscription transaction for Operations
TXN100115,2025-01-02,Customer Support,Service Revenue,Customer_B,East,Revenue,13950.22,Bank Transfer,Service Revenue transaction for Customer Support
TXN100116,2025-01-02,Customer Support,Product Sales,Customer_C,South,Revenue,20594.81,Bank Transfer,Product Sales transaction for Customer Support
TXN100117,2025-01-02,Operations,Subscription,Customer_E,South,Revenue,16592.79,Bank Transfer,Subscription transaction for Operations
TXN100118,2025-01-02,IT,Product Sales,Customer_D,North,Revenue,28907.69,Direct Debit,Product Sales transaction for IT
TXN100119,2025-01-02,Finance,Bank Charges,BankTwo,South,Expense,1514.97,Bank Transfer,Bank Charges transaction for Finance
TXN100120,2025-01-02,Operations,Service Revenue,Customer_B,East,Revenue,4565.34,UPI,Service Revenue transaction for Operations
TXN100121,2025-01-02,Operations,Subscription,Customer_A,West,Revenue,29203.94,Direct Debit,Subscription transaction for Operations
TXN100122,2025-01-02,Finance,Bank Charges,BankOne,South,Expense,3861.98,Direct Debit,Bank Charges transaction for Finance
TXN100123,2025-01-02,Marketing,Software,DataDesk,South,Expense,12872.56,Credit Card,Software transaction for Marketing
TXN100124,2025-01-02,Finance,Audit,AuditPartners,East,Expense,5418.97,Debit Card,Audit transaction for Finance
TXN100125,2025-01-02,Operations,Maintenance,FixPro,West,Expense,11936.15,Credit Card,Maintenance transaction for Operations
TXN100126,2025-01-02,Operations,Maintenance,FixPro,West,Expense,22578.64,Debit Card,Maintenance transaction for Operations
TXN100127,2025-01-02,IT,Product Sales,Customer_B,East,Revenue,11372.44,UPI,Product Sales transaction for IT
TXN100128,2025-01-02,HR,Service Revenue,Customer_E,South,Revenue,26944.39,UPI,Service Revenue transaction for HR
TXN100129,2025-01-02,IT,Hardware,DevicePro,South,Expense,10637.16,Bank Transfer,Hardware transaction for IT
TXN100130,2025-01-02,Operations,Product Sales,Customer_E,East,Revenue,4924.01,Bank Transfer,Product Sales transaction for Operations
TXN100131,2025-01-02,Operations,Product Sales,Customer_B,West,Revenue,17577.16,UPI,Product Sales transaction for Operations
TXN100132,2025-01-02,Marketing,Content,MediaCraft,East,Expense,12271.6,Credit Card,Content transaction for Marketing
TXN100133,2025-01-02,Marketing,Content,MediaCraft,South,Expense,6392.3,Bank Transfer,Content transaction for Marketing
TXN100134,2025-01-02,Operations,Transaction Fees,Customer_B,West,Revenue,5385.52,UPI,Transaction Fees transaction for Operations
TXN100135,2025-01-02,HR,Recruitment,TalentBridge,West,Expense,2865.74,UPI,Recruitment transaction for HR
TXN100136,2025-01-02,Marketing,Software,SoftCore,West,Expense,14870.39,Bank Transfer,Software transaction for Marketing
TXN100137,2025-01-02,IT,Subscription,Customer_E,South,Revenue,16970.45,Credit Card,Subscription transaction for IT
TXN100138,2025-01-02,Marketing,Software,SoftCore,East,Expense,25383.65,Credit Card,Software transaction for Marketing
TXN100139,2025-01-02,Marketing,Events,EventWorks,South,Expense,16472.52,Credit Card,Events transaction for Marketing
TXN100140,2025-01-02,Marketing,Advertising,SearchPro,West,Expense,6709.59,Bank Transfer,Advertising transaction for Marketing
TXN100141,2025-01-02,Customer Support,Support Tools,SupportCloud,West,Expense,6352.94,Credit Card,Support Tools transaction for Customer Support
TXN100142,2025-01-02,IT,Hardware,TechSource,East,Expense,11185.93,Debit Card,Hardware transaction for IT
TXN100143,2025-01-02,Operations,Product Sales,Customer_B,South,Revenue,14039.36,Bank Transfer,Product Sales transaction for Operations
TXN100144,2025-01-02,Marketing,Product Sales,Customer_E,West,Revenue,22035.25,Credit Card,Product Sales transaction for Marketing
TXN100145,2025-01-02,Operations,Utilities,PowerGrid,East,Expense,27282.34,Credit Card,Utilities transaction for Operations
TXN100146,2025-01-02,Marketing,Subscription,Customer_D,South,Revenue,28967.12,Credit Card,Subscription transaction for Marketing
TXN100147,2025-01-02,IT,Hardware,DevicePro,West,Expense,28220.01,Bank Transfer,Hardware transaction for IT
TXN100148,2025-01-02,Customer Support,Transaction Fees,Customer_A,East,Revenue,19587.91,Bank Transfer,Transaction Fees transaction for Customer Support
TXN100149,2025-01-02,Sales,Software,WorkFlowPro,South,Expense,15714.47,Bank Transfer,Software transaction for Sales
TXN100150,2025-01-02,Operations,Supplies,SupplyHub,North,Expense,11161.66,Bank Transfer,Supplies transaction for Operations
TXN100151,2025-01-02,IT,Service Revenue,Customer_B,South,Revenue,11476.47,Direct Debit,Service Revenue transaction for IT
TXN100152,2025-01-02,Operations,Product Sales,Customer_D,South,Revenue,23709.56,UPI,Product Sales transaction for Operations
TXN100153,2025-01-02,IT,Cybersecurity,CyberGuard,North,Expense,20289.86,UPI,Cybersecurity transaction for IT
TXN100154,2025-01-02,Marketing,Events,EventWorks,North,Expense,5702.2,Bank Transfer,Events transaction for Marketing
TXN100155,2025-01-02,Marketing,Events,EventWorks,West,Expense,4854.17,Bank Transfer,Events transaction for Marketing
TXN100156,2025-01-02,Operations,Transaction Fees,Customer_A,South,Revenue,13884.31,Bank Transfer,Transaction Fees transaction for Operations
TXN100157,2025-01-02,Customer Support,Service Revenue,Customer_B,East,Revenue,7774.76,Bank Transfer,Service Revenue transaction for Customer Support
TXN100158,2025-01-02,Customer Support,Software,SoftCore,North,Expense,4679.13,UPI,Software transaction for Customer Support
TXN100159,2025-01-02,Marketing,Content,ContentLab,North,Expense,8748.84,UPI,Content transaction for Marketing
TXN100160,2025-01-02,IT,Transaction Fees,Customer_D,North,Revenue,35935.55,Direct Debit,Transaction Fees transaction for IT
TXN100161,2025-01-02,Marketing,Software,SoftCore,South,Expense,18167.32,Credit Card,Software transaction for Marketing
TXN100162,2025-01-02,Customer Support,Subscription,Customer_D,North,Revenue,46238.04,Bank Transfer,Subscription transaction for Customer Support
TXN100163,2025-01-02,Customer Support,Software,WorkFlowPro,South,Expense,13786.19,Bank Transfer,Software transaction for Customer Support
TXN100164,2025-01-02,Marketing,Product Sales,Customer_E,South,Revenue,30734.72,Debit Card,Product Sales transaction for Marketing
TXN100165,2025-01-02,Marketing,Software,WorkFlowPro,West,Expense,10576.5,Credit Card,Software transaction for Marketing
TXN100166,2025-01-02,Sales,Service Revenue,Customer_C,South,Revenue,11321.69,Bank Transfer,Service Revenue transaction for Sales
TXN100167,2025-01-02,Customer Support,Transaction Fees,Customer_A,East,Revenue,6463.68,UPI,Transaction Fees transaction for Customer Support
TXN100168,2025-01-02,Operations,Utilities,PowerGrid,South,Expense,13757.04,Debit Card,Utilities transaction for Operations
TXN100169,2025-01-02,HR,Transaction Fees,Customer_C,North,Revenue,30031.01,Direct Debit,Transaction Fees transaction for HR
TXN100170,2025-01-02,Operations,Utilities,WaterWorks,South,Expense,5170.33,UPI,Utilities transaction for Operations
TXN100171,2025-01-02,Sales,Product Sales,Customer_E,West,Revenue,15717.94,Credit Card,Product Sales transaction for Sales
TXN100172,2025-01-02,IT,Cybersecurity,CyberGuard,West,Expense,15275.59,Bank Transfer,Cybersecurity transaction for IT
TXN100173,2025-01-02,Marketing,Advertising,AdSphere,East,Expense,11535.53,Credit Card,Advertising transaction for Marketing
TXN100174,2025-01-02,Finance,Software,DataDesk,North,Expense,6233.19,Bank Transfer,Software transaction for Finance
TXN100175,2025-01-02,Marketing,Subscription,Customer_D,North,Revenue,24693.14,Debit Card,Subscription transaction for Marketing
TXN100176,2025-01-02,Finance,Transaction Fees,Customer_C,East,Revenue,15849.68,Direct Debit,Transaction Fees transaction for Finance
TXN100177,2025-01-02,Marketing,Advertising,SearchPro,South,Expense,17702.35,UPI,Advertising transaction for Marketing
TXN100178,2025-01-02,Marketing,Transaction Fees,Customer_D,West,Revenue,4877.82,Debit Card,Transaction Fees transaction for Marketing
TXN100179,2025-01-02,IT,Software,SoftCore,West,Expense,13354.16,Credit Card,Software transaction for IT
TXN100180,2025-01-02,Customer Support,Product Sales,Customer_D,North,Revenue,35856.7,Debit Card,Product Sales transaction for Customer Support
TXN100181,2025-01-02,IT,Cybersecurity,CyberGuard,North,Expense,31476.99,Bank Transfer,Cybersecurity transaction for IT
TXN100182,2025-01-02,Marketing,Events,ExpoHub,South,Expense,11444.38,Credit Card,Events transaction for Marketing
TXN100183,2025-01-02,Finance,Software,SoftCore,West,Expense,9625.75,Credit Card,Software transaction for Finance
TXN100184,2025-01-02,Customer Support,Product Sales,Customer_B,West,Revenue,6667.12,Bank Transfer,Product Sales transaction for Customer Support
TXN100185,2025-01-02,Operations,Utilities,WaterWorks,South,Expense,11385.71,UPI,Utilities transaction for Operations
TXN100186,2025-01-02,Finance,Bank Charges,BankOne,West,Expense,4916.51,Bank Transfer,Bank Charges transaction for Finance
TXN100187,2025-01-02,IT,Hardware,TechSource,North,Expense,4722.15,UPI,Hardware transaction for IT
TXN100188,2025-01-02,Finance,Professional Services,ConsultPro,South,Expense,3287.21,Debit Card,Professional Services transaction for Finance
TXN100189,2025-01-02,Operations,Utilities,PowerGrid,West,Expense,4214.26,Bank Transfer,Utilities transaction for Operations
TXN100190,2025-01-02,Marketing,Advertising,AdSphere,West,Expense,15853.33,Credit Card,Advertising transaction for Marketing
TXN100191,2025-01-02,Sales,Transaction Fees,Customer_A,South,Revenue,41293.95,Credit Card,Transaction Fees transaction for Sales
TXN100192,2025-01-02,HR,Software,WorkFlowPro,West,Expense,2120.5,Credit Card,Software transaction for HR
TXN100193,2025-01-02,HR,Benefits,BenefitHub,East,Expense,1118.26,Bank Transfer,Benefits transaction for HR
TXN100194,2025-01-02,Marketing,Service Revenue,Customer_D,North,Revenue,70967.91,Credit Card,Service Revenue transaction for Marketing
TXN100195,2025-01-02,HR,Recruitment,HireFast,South,Expense,5835.19,Debit Card,Recruitment transaction for HR
TXN100196,2025-01-02,Marketing,Subscription,Customer_E,East,Revenue,12617.39,Credit Card,Subscription transaction for Marketing
TXN100197,2025-01-02,IT,Software,CloudSuite,East,Expense,28397.86,Debit Card,Software transaction for IT
TXN100198,2025-01-02,Customer Support,Subscription,Customer_E,South,Revenue,5113.45,Direct Debit,Subscription transaction for Customer Support
TXN100199,2025-01-02,Customer Support,Service Revenue,Customer_E,North,Revenue,32555.02,Credit Card,Service Revenue transaction for Customer Support
TXN100200,2025-01-02,Customer Support,Software,CloudSuite,West,Expense,29070.83,Bank Transfer,Software transaction for Customer Support
TXN100201,2025-01-02,Marketing,Advertising,SearchPro,North,Expense,7162.2,Bank Transfer,Advertising transaction for Marketing
TXN100202,2025-01-02,Marketing,Content,MediaCraft,West,Expense,14751.45,Bank Transfer,Content transaction for Marketing
TXN100203,2025-01-02,IT,Transaction Fees,Customer_C,South,Revenue,11391.74,Debit Card,Transaction Fees transaction for IT
TXN100204,2025-01-02,Finance,Subscription,Customer_D,East,Revenue,18445.91,Debit Card,Subscription transaction for Finance
TXN100205,2025-01-02,Finance,Product Sales,Customer_D,South,Revenue,25785.04,Credit Card,Product Sales transaction for Finance
TXN100206,2025-01-02,Sales,Commissions,SalesPartners,West,Expense,18021.15,Bank Transfer,Commissions transaction for Sales
TXN100207,2025-01-02,Sales,Software,SoftCore,East,Expense,8467.0,Credit Card,Software transaction for Sales
TXN100208,2025-01-02,Sales,Travel,FlyBiz,West,Expense,12845.65,Debit Card,Travel transaction for Sales
TXN100209,2025-01-02,IT,Subscription,Customer_E,North,Revenue,14519.91,Bank Transfer,Subscription transaction for IT
TXN100210,2025-01-02,Customer Support,Subscription,Customer_D,South,Revenue,4761.89,Credit Card,Subscription transaction for Customer Support
TXN100211,2025-01-02,Operations,Service Revenue,Customer_E,North,Revenue,75850.95,Bank Transfer,Service Revenue transaction for Operations
TXN100212,2025-01-02,IT,Hardware,TechSource,South,Expense,16624.16,Debit Card,Hardware transaction for IT
TXN100213,2025-01-02,HR,Transaction Fees,Customer_D,East,Revenue,25515.72,UPI,Transaction Fees transaction for HR
TXN100214,2025-01-02,IT,Cybersecurity,CyberGuard,South,Expense,15832.01,Bank Transfer,Cybersecurity transaction for IT
TXN100215,2025-01-02,Sales,Transaction Fees,Customer_B,South,Revenue,55488.27,Bank Transfer,Transaction Fees transaction for Sales
TXN100216,2025-01-02,IT,Service Revenue,Customer_A,North,Revenue,20033.43,Bank Transfer,Service Revenue transaction for IT
TXN100217,2025-01-02,Marketing,Service Revenue,Customer_C,North,Revenue,22016.87,Bank Transfer,Service Revenue transaction for Marketing
TXN100218,2025-01-02,Marketing,Transaction Fees,Customer_C,East,Revenue,20713.15,Debit Card,Transaction Fees transaction for Marketing
TXN100219,2025-01-02,Operations,Logistics,MoveRight,West,Expense,6937.98,Credit Card,Logistics transaction for Operations
TXN100220,2025-01-03,Sales,Client Entertainment,EventWorks,East,Expense,3453.94,UPI,Client Entertainment transaction for Sales
TXN100221,2025-01-03,Operations,Logistics,ShipNow,North,Expense,17296.62,Bank Transfer,Logistics transaction for Operations
TXN100222,2025-01-03,IT,Subscription,Customer_B,South,Revenue,5941.63,Bank Transfer,Subscription transaction for IT
TXN100223,2025-01-03,IT,Software,SoftCore,North,Expense,7475.22,Credit Card,Software transaction for IT
TXN100224,2025-01-03,IT,Subscription,Customer_E,West,Revenue,9678.88,UPI,Subscription transaction for IT
TXN100225,2025-01-03,IT,Subscription,Customer_E,West,Revenue,18427.74,Debit Card,Subscription transaction for IT
TXN100226,2025-01-03,Marketing,Software,WorkFlowPro,North,Expense,8364.77,Direct Debit,Software transaction for Marketing
TXN100227,2025-01-03,HR,Recruitment,TalentBridge,West,Expense,3894.76,UPI,Recruitment transaction for HR
TXN100228,2025-01-03,IT,Hardware,DevicePro,East,Expense,21877.2,Credit Card,Hardware transaction for IT
TXN100229,2025-01-03,HR,Training,LearnPro,South,Expense,5391.38,Credit Card,Training transaction for HR
TXN100230,2025-01-03,Marketing,Software,WorkFlowPro,East,Expense,15077.42,Credit Card,Software transaction for Marketing
TXN100231,2025-01-03,Operations,Service Revenue,Customer_D,West,Revenue,24444.08,Direct Debit,Service Revenue transaction for Operations
TXN100232,2025-01-03,Operations,Service Revenue,Customer_B,South,Revenue,26193.11,Credit Card,Service Revenue transaction for Operations
